signature	signatureType	outcome	model	study	Primary	Sequencing	N	Effect_size	SE	95CI_low	95CI_high	Pval
CRMA	Signature	OS	COX	Braun	Kidney	TPM	178	0.03	0.24	-0.45	0.5	0.906259659137967
CRMA	Signature	OS	COX	Gide	Melanoma	TPM	55	0.26	0.32	-0.37	0.9	0.413664543544384
CRMA	Signature	OS	COX	Hugo	Melanoma	FPKM	27	-0.4	0.57	-1.52	0.71	0.476085086821302
CRMA	Signature	OS	COX	Liu	Melanoma	FPKM	121	-0.11	0.23	-0.56	0.35	0.651135829390081
CRMA	Signature	OS	COX	Riaz	Melanoma	TPM	51	0	0.32	-0.63	0.63	0.993389943178856
CRMA	Signature	OS	COX	Snyder	Ureteral	TPM	25	0.48	0.49	-0.48	1.45	0.328061818231034
CRMA	Signature	OS	COX	Van_Allen	Melanoma	TPM	42	0.66	0.3	0.07	1.25	0.0282746567192764
CRMA	Signature	PFS	COX	Braun	Kidney	TPM	178	0.24	0.2	-0.15	0.63	0.229819443577516
CRMA	Signature	PFS	COX	Gide	Melanoma	TPM	55	0.2	0.27	-0.34	0.74	0.467505923875624
CRMA	Signature	PFS	COX	Liu	Melanoma	FPKM	121	-0.01	0.2	-0.4	0.39	0.975349418268621
CRMA	Signature	PFS	COX	Snyder	Ureteral	TPM	25	0.46	0.5	-0.51	1.44	0.350376375845803
CRMA	Signature	PFS	COX	Van_Allen	Melanoma	TPM	42	0.6	0.28	0.05	1.14	0.0314696219062951
CRMA	Signature	Response	Log_regression	Braun	Kidney	TPM	139	0.34	0.46	-0.55	1.26	0.457379176564859
CRMA	Signature	Response	Log_regression	Gide	Melanoma	TPM	52	0.19	0.45	-0.7	1.09	0.67382701311387
CRMA	Signature	Response	Log_regression	Hugo	Melanoma	FPKM	27	-0.75	0.78	-2.36	0.74	0.334778089462839
CRMA	Signature	Response	Log_regression	Liu	Melanoma	FPKM	112	-0.07	0.35	-0.77	0.61	0.831511272689692
CRMA	Signature	Response	Log_regression	Riaz	Melanoma	TPM	33	-1.35	0.96	-3.49	0.4	0.160957673917742
CRMA	Signature	Response	Log_regression	Snyder	Ureteral	TPM	22	1.27	1.14	-0.79	3.88	0.266477088528642
CRMA	Signature	Response	Log_regression	Van_Allen	Melanoma	TPM	39	1.48	0.75	0.15	3.22	0.0488638454423352
LRRC15_CAF	Signature	OS	COX	Braun	Kidney	TPM	178	0.26	0.21	-0.16	0.67	0.227451128862904
LRRC15_CAF	Signature	OS	COX	Fumet.2	Lung	TPM	43	0.24	0.37	-0.49	0.97	0.523461930545234
LRRC15_CAF	Signature	OS	COX	Gide	Melanoma	TPM	55	0.53	0.49	-0.42	1.48	0.276796614697222
LRRC15_CAF	Signature	OS	COX	Hugo	Melanoma	FPKM	27	0.53	0.61	-0.67	1.72	0.386214698921489
LRRC15_CAF	Signature	OS	COX	Liu	Melanoma	FPKM	121	-0.35	0.31	-0.96	0.26	0.265682351238733
LRRC15_CAF	Signature	OS	COX	Mariathasan	Bladder	TPM	194	0.09	0.15	-0.21	0.39	0.563513636867254
LRRC15_CAF	Signature	OS	COX	Mariathasan	Kidney	TPM	67	-0.35	0.29	-0.92	0.23	0.237295983717252
LRRC15_CAF	Signature	OS	COX	Mariathasan	Lymph_node	TPM	26	0.43	0.41	-0.36	1.23	0.286500388919364
LRRC15_CAF	Signature	OS	COX	Mariathasan	Ureteral	TPM	26	0.31	0.46	-0.59	1.21	0.499351953067108
LRRC15_CAF	Signature	OS	COX	Miao.1	Kidney	TPM	33	-0.08	0.47	-1	0.85	0.872129007489055
LRRC15_CAF	Signature	OS	COX	Nathanson	Melanoma	FPKM	24	0.04	0.6	-1.14	1.22	0.946510690990238
LRRC15_CAF	Signature	OS	COX	Riaz	Melanoma	TPM	51	-0.13	0.35	-0.8	0.55	0.712960981567537
LRRC15_CAF	Signature	OS	COX	Snyder	Ureteral	TPM	25	0.86	0.48	-0.09	1.81	0.076674889071364
LRRC15_CAF	Signature	OS	COX	Van_Allen	Melanoma	TPM	42	0.75	0.46	-0.16	1.66	0.105779896108457
LRRC15_CAF	Signature	PFS	COX	Braun	Kidney	TPM	178	0.06	0.17	-0.29	0.4	0.751319950429595
LRRC15_CAF	Signature	PFS	COX	Fumet.1	Lung	TPM	44	-0.14	0.39	-0.9	0.61	0.709011389907259
LRRC15_CAF	Signature	PFS	COX	Fumet.2	Lung	TPM	43	-0.29	0.33	-0.93	0.35	0.373158251752022
LRRC15_CAF	Signature	PFS	COX	Gide	Melanoma	TPM	55	-0.26	0.4	-1.05	0.52	0.514021516929992
LRRC15_CAF	Signature	PFS	COX	Jung	Lung	TPM	26	0.11	0.42	-0.71	0.93	0.797918980969423
LRRC15_CAF	Signature	PFS	COX	Liu	Melanoma	FPKM	121	-0.33	0.27	-0.87	0.21	0.225486685575204
LRRC15_CAF	Signature	PFS	COX	Miao.1	Kidney	TPM	33	0.12	0.81	-1.46	1.7	0.880239975992905
LRRC15_CAF	Signature	PFS	COX	Snyder	Ureteral	TPM	25	0.88	0.46	-0.02	1.77	0.054378840382847
LRRC15_CAF	Signature	PFS	COX	Van_Allen	Melanoma	TPM	42	0.72	0.41	-0.08	1.53	0.0785537112852786
LRRC15_CAF	Signature	Response	Log_regression	Braun	Kidney	TPM	139	-0.2	0.39	-0.98	0.57	0.614864838783046
LRRC15_CAF	Signature	Response	Log_regression	Fumet.1	Lung	TPM	39	0.35	0.69	-1.01	1.76	0.615520817815474
LRRC15_CAF	Signature	Response	Log_regression	Fumet.2	Lung	TPM	41	-0.8	0.63	-2.12	0.41	0.208630743906212
LRRC15_CAF	Signature	Response	Log_regression	Gide	Melanoma	TPM	52	-0.05	0.64	-1.32	1.22	0.942326140030559
LRRC15_CAF	Signature	Response	Log_regression	Hugo	Melanoma	FPKM	27	2.11	0.93	0.41	4.13	0.0233474824766325
LRRC15_CAF	Signature	Response	Log_regression	Jung	Lung	TPM	26	0.26	0.84	-1.4	1.97	0.757989246369922
LRRC15_CAF	Signature	Response	Log_regression	Kim	Gastric	FPKM	31	0.78	0.88	-0.88	2.66	0.372486964577122
LRRC15_CAF	Signature	Response	Log_regression	Liu	Melanoma	FPKM	112	-0.28	0.44	-1.15	0.58	0.52386253815752
LRRC15_CAF	Signature	Response	Log_regression	Mariathasan	Bladder	TPM	133	0.35	0.32	-0.27	1	0.273263721083096
LRRC15_CAF	Signature	Response	Log_regression	Mariathasan	Kidney	TPM	46	0.41	0.81	-1.16	2.07	0.611034814771383
LRRC15_CAF	Signature	Response	Log_regression	Miao.1	Kidney	TPM	28	-1.71	0.88	-3.64	-0.1	0.0523004296250036
LRRC15_CAF	Signature	Response	Log_regression	Nathanson	Melanoma	FPKM	24	0.77	0.99	-1.15	2.85	0.437289006014056
LRRC15_CAF	Signature	Response	Log_regression	Puch	Melanoma	TPM	49	0.69	0.83	-0.94	2.38	0.406406359200088
