id,dataset_id,gene_id
1,20,1
2,20,2
3,20,3
4,20,4
5,20,5
6,20,6
7,20,7
8,20,8
9,20,9
10,20,10
11,20,11
12,20,12
13,20,13
14,20,14
15,20,15
16,20,16
17,20,17
18,20,18
19,20,19
20,20,20
21,20,21
22,20,22
23,20,23
24,20,24
25,20,25
26,20,26
27,20,27
28,20,28
29,20,29
30,20,30
31,20,31
32,20,32
33,20,33
34,20,34
35,20,35
36,20,36
37,20,37
38,20,38
39,20,39
40,20,40
41,20,41
42,20,42
43,20,43
44,20,44
45,20,45
46,20,46
47,20,47
48,20,48
49,20,49
50,20,50
51,20,51
52,20,52
53,20,53
54,20,54
55,20,55
56,20,56
57,20,57
58,20,58
59,20,59
60,20,60
61,20,61
62,20,62
63,20,63
64,20,64
65,20,65
66,20,66
67,20,67
68,20,68
69,20,69
70,20,70
71,20,71
72,20,72
73,20,73
74,20,74
75,20,75
76,20,76
77,20,77
78,20,78
79,20,79
80,20,80
81,20,81
82,20,82
83,20,83
84,20,84
85,20,85
86,20,86
87,20,87
88,20,88
89,20,89
90,20,90
91,20,91
92,20,92
93,20,93
94,20,94
95,20,95
96,20,96
97,20,97
98,20,98
99,20,99
100,20,100
101,20,101
102,20,102
103,20,103
104,20,104
105,20,105
106,20,106
107,20,107
108,20,108
109,20,109
110,20,110
111,20,111
112,20,112
113,20,113
114,20,114
115,20,115
116,20,116
117,20,117
118,20,118
119,20,119
120,20,120
121,20,121
122,20,122
123,20,123
124,20,124
125,20,125
126,20,126
127,20,127
128,20,128
129,20,129
130,20,130
131,20,131
132,20,132
133,20,133
134,20,134
135,20,135
136,20,136
137,20,137
138,20,138
139,20,139
140,20,140
141,20,141
142,20,142
143,20,143
144,20,144
145,20,145
146,20,146
147,20,147
148,20,148
149,20,149
150,20,150
151,20,151
152,20,152
153,20,153
154,20,154
155,20,155
156,20,156
157,20,157
158,20,158
159,20,159
160,20,160
161,20,161
162,20,162
163,20,163
164,20,164
165,20,165
166,20,166
167,20,167
168,20,168
169,20,169
170,20,170
171,20,171
172,20,172
173,20,173
174,20,174
175,20,175
176,20,176
177,20,177
178,20,178
179,20,179
180,20,180
181,20,181
182,20,182
183,20,183
184,20,184
185,20,185
186,20,186
187,20,187
188,20,188
189,20,189
190,20,190
191,20,191
192,20,192
193,20,193
194,20,194
195,20,195
196,20,196
197,20,197
198,20,198
199,20,199
200,20,200
201,20,201
202,20,202
203,20,203
204,20,204
205,20,205
206,20,206
207,20,207
208,20,208
209,20,209
210,20,210
211,20,211
212,20,212
213,20,213
214,20,214
215,20,215
216,20,216
217,20,217
218,20,218
219,20,219
220,20,220
221,20,221
222,20,222
223,20,223
224,20,224
225,20,225
226,20,226
227,20,227
228,20,228
229,20,229
230,20,230
231,20,231
232,20,232
233,20,233
234,20,234
235,20,235
236,20,236
237,20,237
238,20,238
239,20,239
240,20,240
241,20,241
242,20,242
243,20,243
244,20,244
245,20,245
246,20,246
247,20,247
248,20,248
249,20,249
250,20,250
251,20,251
252,20,252
253,20,253
254,20,254
255,20,255
256,20,256
257,20,257
258,20,258
259,20,259
260,20,260
261,20,261
262,20,262
263,20,263
264,20,264
265,20,265
266,20,266
267,20,267
268,20,268
269,20,269
270,20,270
271,20,271
272,20,272
273,20,273
274,20,274
275,20,275
276,20,276
277,20,277
278,20,278
279,20,279
280,20,280
281,20,281
282,20,282
283,20,283
284,20,284
285,20,285
286,20,286
287,20,287
288,20,288
289,20,289
290,20,290
291,20,291
292,20,292
293,20,293
294,20,294
295,20,295
296,20,296
297,20,297
298,20,298
299,20,299
300,20,300
301,20,301
302,20,302
303,20,303
304,20,304
305,20,305
306,20,306
307,20,307
308,20,308
309,20,309
310,20,310
311,20,311
312,20,312
313,20,313
314,20,314
315,20,315
316,20,316
317,20,317
318,20,318
319,20,319
320,20,320
321,20,321
322,20,322
323,20,323
324,20,324
325,20,325
326,20,326
327,20,327
