signature	signatureType	outcome	model	Subgroup	Type	N	Effect_size	SE	95CI_low	95CI_high	Pval	I2	Pval_I2
CRMA	Signature	OS	COX	ALL	ALL	6	0.104319940934504	0.13939222445866	-0.168883798729393	0.3775236805984	0.454224112993422	0.156309187421721	0.313452318988826
CRMA	Signature	OS	COX	Tumor	Melanoma	4	0.0972015670120911	0.212986028349588	-0.320243377763327	0.51464651178751	0.648120109350537	0.421251902091761	0.158836095408524
CRMA	Signature	OS	COX	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	COX	Tumor	Kidney	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	COX	Sequencing	TPM	4	0.23562908778212	0.173622843418209	-0.104665432211007	0.575923607775247	0.174739325315336	0.182605560953002	0.299349482679426
CRMA	Signature	OS	COX	Sequencing	FPKM	2	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	COX	ALL	ALL	4	0.245085195933837	0.133740739643847	-0.0170418370338514	0.507212228901525	0.0668710737537297	0.122294288562412	0.331553716847446
CRMA	Signature	PFS	COX	Tumor	Melanoma	2	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	COX	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	COX	Tumor	Kidney	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	COX	Sequencing	TPM	3	0.383020527859238	0.154755190899884	0.0797059272748449	0.68633512844363	0.0133232727743685	0	0.605752985193727
CRMA	Signature	PFS	COX	Sequencing	FPKM	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	DI	ALL	ALL	6	0.0813807940603517	0.123217652907876	-0.160121367898642	0.322882956019345	0.508956268744628	0.245266990362808	0.250067763076305
CRMA	Signature	OS	DI	Tumor	Melanoma	4	0.0645339597853771	0.203037966956359	-0.33341314294332	0.462481062514074	0.750604915944447	0.481256545518775	0.122647556144592
CRMA	Signature	OS	DI	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	DI	Tumor	Kidney	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	OS	DI	Sequencing	TPM	4	0.198050531055221	0.149158613168556	-0.0942949787390903	0.490396040849532	0.184249228146782	0.247766675109849	0.262749350039932
CRMA	Signature	OS	DI	Sequencing	FPKM	2	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	DI	ALL	ALL	4	0.158394865094106	0.0961465565082587	-0.0300489228996259	0.346838653087838	0.0994693866964158	0	0.509806673019802
CRMA	Signature	PFS	DI	Tumor	Melanoma	2	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	DI	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	DI	Tumor	Kidney	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	PFS	DI	Sequencing	TPM	3	0.225620634208298	0.113730244482489	0.00271345106968363	0.448527817346911	0.0472756149756123	0	0.57996112113826
CRMA	Signature	PFS	DI	Sequencing	FPKM	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	Response	Log_regression	ALL	ALL	6	0.141029899671188	0.344572041464484	-0.534318891678643	0.816378691021018	0.682326834492833	0.410669620439306	0.131492150043052
CRMA	Signature	Response	Log_regression	Tumor	Melanoma	4	-0.0864596491210403	0.505865349963357	-1.07793751607597	0.905018217833889	0.864291110465592	0.55908433875156	0.0784136299129955
CRMA	Signature	Response	Log_regression	Tumor	Lung	0	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	Response	Log_regression	Tumor	Kidney	1	NA	NA	NA	NA	NA	NA	NA
CRMA	Signature	Response	Log_regression	Sequencing	TPM	4	0.46142309068854	0.547034067013874	-0.610743978975124	1.5335901603522	0.398949013771619	0.49556566917329	0.114204733345787
CRMA	Signature	Response	Log_regression	Sequencing	FPKM	2	NA	NA	NA	NA	NA	NA	NA
LRRC15_CAF	Signature	OS	COX	ALL	ALL	13	0.106599665906994	0.0861884648034068	-0.0623266209904816	0.275525952804469	0.216153704770795	0	0.492587401940458
LRRC15_CAF	Signature	OS	COX	Tumor	Melanoma	5	0.0435567813913338	0.210484931330376	-0.36898610330459	0.456099666087258	0.836060317304946	0.171054511928893	0.305685348127048
LRRC15_CAF	Signature	OS	COX	Tumor	Lung	1	NA	NA	NA	NA	NA	NA	NA
